City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,leningradskiy,69.3833,178.4167,-35.39,96,10,2.19,RU,1673930097
84,hervey bay,-25.2986,152.8535,21.12,94,100,4.02,AU,1673930086
85,sao filipe,14.8961,-24.4956,24.85,62,100,3.41,CV,1673930098
86,kushmurun,52.4503,64.6311,-22.2,82,14,2.76,KZ,1673930099
87,bendigo,-36.7667,144.2833,37.7,49,21,0.89,AU,1673930100
88,nenjiang,49.1833,125.2167,-22.12,89,38,2.06,CN,1673930101
89,nishihara,26.1842,127.7558,18.81,63,40,6.17,JP,1673930102
90,ribeira grande,38.5167,-28.7,14.61,73,96,5.26,PT,1673930103
91,san patricio,28.017,-97.5169,20.92,83,0,2.12,US,1673930104
92,santa catalina,9.3337,122.8637,30.99,76,100,0.37,PH,1673930106
93,faya,18.3851,42.4509,10.29,65,75,1.68,SA,1673930106
94,camacha,33.0833,-16.3333,14.68,67,75,5.66,PT,1673930108
95,krasne,49.9145,24.6134,2.85,79,97,3.55,UA,1673930109
96,ulladulla,-35.35,150.4667,25.67,61,0,6.96,AU,1673930110
97,bredasdorp,-34.5322,20.0403,21.16,92,100,6.65,ZA,1673930112
98,victoria,22.2855,114.1577,16.81,75,95,4.47,HK,1673929836
99,the pas,53.8251,-101.2541,-20.92,100,92,0.24,CA,1673930114
100,rocha,-34.4833,-54.3333,16.71,94,0,2.66,UY,1673929904
101,torbay,47.6666,-52.7314,9.1,97,100,10.8,CA,1673930115
102,norman wells,65.282,-126.8329,-16.98,78,75,2.06,CA,1673930116
103,kawalu,-7.3817,108.2082,27.45,76,85,1.79,ID,1673930117
104,katsuura,35.1333,140.3,8.06,71,98,3.98,JP,1673929976
105,caravelas,-17.7125,-39.2481,23.11,91,3,1.99,BR,1673930119
106,hermanus,-34.4187,19.2345,22.11,84,96,6.33,ZA,1673930120
107,qaanaaq,77.484,-69.3632,-25.55,65,84,2.28,GL,1673930121
108,cabo san lucas,22.8909,-109.9124,20.84,72,93,1.34,MX,1673929908
109,noumea,-22.2763,166.4572,29.99,68,99,7.59,NC,1673929679
110,oriximina,-1.7656,-55.8661,23.35,91,95,1.14,BR,1673930123
111,saint-philippe,-21.3585,55.7679,27.77,78,47,6.12,RE,1673930124
112,hamilton,39.1834,-84.5333,9.99,93,100,4.63,US,1673930125
113,santiago del estero,-27.7951,-64.2615,26.91,30,68,4.81,AR,1673930126
114,lebu,-37.6167,-73.65,12.57,92,10,6.07,CL,1673930127
115,lagoa,39.05,-27.9833,15.01,74,99,6.51,PT,1673930128
116,yuanping,38.7153,112.7575,-4.11,38,6,4.55,CN,1673930129
117,draguignan,43.5333,6.4667,6.54,88,100,1.54,FR,1673930130
118,angoche,-16.2325,39.9086,26.21,84,100,2.17,MZ,1673930131
119,longonjo,-12.9067,15.2533,16.64,94,100,1.21,AO,1673930132
120,halifax,44.6453,-63.5724,8.04,98,100,3.09,CA,1673930123
121,muroto,33.2833,134.15,9.91,61,92,2.33,JP,1673930134
122,lorengau,-2.0226,147.2712,29.02,68,100,3.11,PG,1673930135
123,avera,33.194,-82.5271,11.03,53,100,3.08,US,1673930135
124,thompson,55.7435,-97.8558,-23.44,100,66,1.2,CA,1673930136
125,saint-joseph,-21.3667,55.6167,27.21,74,47,5.69,RE,1673929922
126,olovyannaya,50.95,115.5667,-18.06,79,24,3.49,RU,1673930138
127,mattru,7.6244,-11.8332,20.71,98,25,1.08,SL,1673930106
128,buta,2.7858,24.73,18.89,53,76,0.83,CD,1673930139
129,sri aman,1.2376,111.4621,31.03,70,20,1.54,MY,1673930140
130,dukat,62.55,155.55,-30.59,97,100,1.63,RU,1673929935
131,west wendover,40.7391,-114.0733,0.56,86,100,2.06,US,1673930142
132,paita,-5.0892,-81.1144,21.18,76,92,3.31,PE,1673930143
133,airai,-8.9266,125.4092,22.48,68,70,1.87,TL,1673930144
134,vizinga,61.0749,50.1031,-9.72,89,98,4.75,RU,1673930145
135,lasa,46.6166,10.7002,-2.51,82,39,0.39,IT,1673930146
136,fortuna,40.5982,-124.1573,7.51,95,100,2.06,US,1673930147
137,lhokseumawe,5.1801,97.1507,28.21,62,83,2.39,ID,1673930148
138,taizhou,32.4933,119.9106,4.77,28,2,3.47,CN,1673930094
139,jibuti,11.5,42.5,20.38,71,7,5.62,DJ,1673930149
140,mount gambier,-37.8333,140.7667,23.87,48,97,4.87,AU,1673930079
141,boyolangu,-8.1181,111.8935,28.69,76,61,3.22,ID,1673930151
142,batouri,4.4333,14.3667,18.62,38,100,0.62,CM,1673930151
143,tymovskoye,50.8456,142.655,-19.94,77,43,1.99,RU,1673930152
144,wyndham,37.6985,-77.6125,8.44,58,0,0.0,US,1673930153
145,nouadhibou,20.931,-17.0347,19.99,40,97,5.14,MR,1673930154
146,northam,51.0333,-4.2167,0.9,76,100,3.83,GB,1673930155
147,oruro,-17.9833,-67.15,8.54,53,99,5.16,BO,1673930156
148,salalah,17.0151,54.0924,22.05,78,75,1.54,OM,1673929718
149,los llanos de aridane,28.6585,-17.9182,15.86,79,100,4.12,ES,1673930157
150,oktyabrskoye,43.0645,44.7417,-6.92,93,27,1.0,RU,1673930158
151,praia da vitoria,38.7333,-27.0667,14.14,82,40,5.14,PT,1673930078
152,narsaq,60.9167,-46.05,-14.88,64,51,5.05,GL,1673930160
153,margate,51.3813,1.3862,-2.05,66,98,2.48,GB,1673930160
154,yulara,-25.2406,130.9889,37.9,17,26,2.57,AU,1673930161
155,naliya,23.2667,68.8333,19.53,18,14,5.74,IN,1673930162
156,grosse ile,42.1292,-83.1444,2.9,94,100,4.63,US,1673930163
157,vao,-22.6667,167.4833,24.21,69,97,6.88,NC,1673930164
158,srednekolymsk,67.45,153.6833,-44.63,99,68,2.04,RU,1673930165
159,labytnangi,66.6572,66.4183,-16.98,100,100,0.62,RU,1673929939
160,chernoyerkovskaya,45.4331,37.7686,2.39,71,11,4.29,RU,1673930167
161,faanui,-16.4833,-151.75,27.31,62,82,4.89,PF,1673930168
162,dingle,10.9995,122.6711,28.15,81,67,3.94,PH,1673930168
163,pochutla,15.7432,-96.4661,23.79,92,4,1.95,MX,1673930169
164,port hedland,-20.3167,118.5667,34.03,55,61,7.72,AU,1673930170
165,fort nelson,58.8053,-122.7002,-13.23,85,75,0.0,CA,1673930130
166,barrow,71.2906,-156.7887,-25.99,76,100,8.23,US,1673930173
167,ukiah,39.1502,-123.2078,6.68,90,64,0.89,US,1673930174
168,tessalit,20.1986,1.0114,15.76,22,4,3.43,ML,1673930175
169,bathsheba,13.2167,-59.5167,25.34,78,20,5.14,BB,1673930175
170,mogadishu,2.0371,45.3438,23.93,88,0,6.17,SO,1673930176
171,krasnoselkup,65.7,82.4667,-37.62,96,28,2.71,RU,1673930177
172,tasiilaq,65.6145,-37.6368,-6.91,76,100,4.74,GL,1673930178
